港澳频道,#genre#
NOW星影,http://74.91.26.218:82/live/nowxy.m3u8
纬来戏剧台,http://31.43.191.125:8080/restream/restream/34854
TVB1Chinese,http://tv-213424.ifiesta.net:80/TV-7926745948196/892281004173/219180
TVB1,http://ysift55.xyz/WJ74AC4SRKQQYR7/pahruAQRs8/269834
TVBE新闻台,http://31.43.191.125:8080/restream/restream/34660
TVBJ1,http://ysift55.xyz/WJ74AC4SRKQQYR7/pahruAQRs8/269835
TVBS欢乐台,http://31.43.191.125:8080/restream/restream/34913
TVBS精采,http://31.43.191.125:8080/restream/restream/34912
TVBS新闻台,http://31.43.191.125:8080/restream/restream/34783
TVBS[760p],https://7612-5516-affc-d88b.kylintv.tv/live/tvbshd_iphone.m3u8
TVBe,http://ysift55.xyz/WJ74AC4SRKQQYR7/pahruAQRs8/269832
TVBrasilOeste,https://5ad482a77183d.streamlock.net/operacaotbomt.com/operacaotbomt.com/playlist.m3u8
TVBrusque,https://5ad482a77183d.streamlock.net/rodrigotvbrusque.com.br/5d880199c902eb4a1e8df00d/playlist.m3u8
TVBrusque,https://5ad482a77183d.streamlock.net/rodrigotvbrusque.com.br/5d880199c902eb4a1e8df00d/playlist.m3u8?checkedby:iptvcat.com
大爱一,https://7612-5516-affc-d88b.kylintv.tv/live/daai_iphone.m3u8
东森,http://ysift55.xyz/WJ74AC4SRKQQYR7/pahruAQRs8/269923
东森财经,http://31.43.191.125:8080/restream/restream/34901
东森卫视,http://ysift55.xyz/WJ74AC4SRKQQYR7/pahruAQRs8/269926
东森洋片,http://31.43.191.125:8080/restream/restream/34904
凤凰卫视,https://7612-5516-affc-d88b.kylintv.tv/live/pxnaus_iphone.m3u8
凤凰卫视香港,https://7612-5516-affc-d88b.kylintv.tv/live/pxhkus_iphone.m3u8
凤凰卫视中文,https://7612-5516-affc-d88b.kylintv.tv/live/pxinhd_iphone.m3u8
华视,http://31.43.191.125:8080/restream/restream/34887
华视,https://7612-5516-affc-d88b.kylintv.tv/live/ctshd_iphone.m3u8
靖天卡通台,http://31.43.191.125:8080/restream/restream/34842
靖天映画台,http://31.43.191.125:8080/restream/restream/34838
民视,http://74.91.26.218:82/live/ftv.m3u8
民视第一台,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv003
台视,http://74.91.26.218:82/live/ttv.m3u8
台视,http://31.43.191.125:8080/restream/restream/34879
台视财经,http://74.91.26.218:82/live/ttvcj.m3u8
台视新闻台,http://74.91.26.218:82/live/ttvnews.m3u8
台视综合台,http://74.91.26.218:82/live/ttvzh.m3u8
天映,http://ysift55.xyz/live/WJ74AC4SRKQQYR7/pahruAQRs8/1052448.ts
纬来育乐,http://31.43.191.125:8080/restream/restream/34849
中视,http://74.91.26.218:82/live/ctv.m3u8

2026/09/23 12:37更新,#genre#
虚情的爱,https://vd2.bdstatic.com/mda-mi1dd05gmhwejdwn/sc/cae_h264/1630576203346678103/mda-mi1dd05gmhwejdwn.mp4
